プロジェクト名,期限,タスク内容,チェーン,重要度,ステータス,ソースURL,chains,ピン留め,sort_date,登録日時,is_completed,資金調達額,VC
Robinhood Chain Testnet,未定,"・Faucetを取得（Googleログイン必須）
・Sepolia ⇄ Robinhood Chain間での往復ブリッジ実行（Arbitrum Portal使用）
・Synthra DEXでのSwapおよび流動性提供（LP）
・OmniHubでのNFTミント
・Superboardのキャンペーンクエスト完了（任意）",Robinhood Chain (Testnet),A,未完了,https://x.com/tippy_crypto/status/2022536466258358624?s=20,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.895564+00:00,False,不明,不明
Backpack,2026/02/28 23:59,"・TGEに向けた認証手続きの実施。モバイル版でフリーズする場合はアプリ再起動後に実績を確認すること。
・（推測・準備）将来発行されるBackpackトークンを1年以上ステーキングすることによる、会社株式（Equity）への交換権利獲得の準備。CEO発言に基づく構想段階。
・プラットフォームトークンを1年間ステーキングすることで会社株式の20%分配対象となる。今後3週間以内に実施予定のTGE/エアドロップに向け、ポイントの蓄積やエコシステムへの貢献を行う。トークン供給量の24%がポイント保有者に割り当て予定。
・KYC（本人確認）の完了、Spot/Perpでの取引によるポイント蓄積、IPO waitlist（オンライン実株式トークン化）への登録、Mad Lads NFTの保有、およびTGE（トークン発行）後のトークンステーキングによる会社株式スワップへの参加",Solana,S,完了,,,True,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.897597+00:00,True,不明,不明
Symbiotic,2026/02/25 23:59,コミュニティハブがDiscordからTelegramへ移行。公式Telegramチャンネルおよびグループへの参加。過去のXPやロールは継承される。,Ethereum,B,完了,,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.903775+00:00,False,不明,不明
Bless,2026/02/28 23:59,Chapter 1完了（99%済）に伴う、最後の誓い（Oaths）の完了および次フェーズの展開を監視。,未定,B,未完了,,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.906820+00:00,False,不明,不明
SphinxProtocol,2026/03/31 23:59,"・テストネット開始前の早期参加準備。コモディティ派生商品プラットフォーム。近日開始予定。
・Pre-Testnet XPの獲得（コミュニティミッション、議論への貢献）、Galxe連携タスクの実行。",不明,A,完了,公式発表,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.911098+00:00,False,不明,不明
ZugChain,2026/12/31 23:59,"・L1テストネットへの参加。$5.5MのPre-Seed調達済み。現在実施中。
・インセンティブ付きテストネットへの参加。公式サイトから登録し、ネットワーク貢献タスクを実行。",ZugChain,B,完了,公式発表,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.915243+00:00,False,不明,不明
Fair Shares,2026/12/31 23:59,デイリーチェックイン。無料参加可能だが資金調達情報に不確実性あり。リスクに注意。,不明,C,完了,X（Twitter）分析,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.919690+00:00,False,不明,不明
Sonic Labs Arcade (旧Fantom),未定 (メインネット移行まで),Sonic testnetに接続し、無料トークンを請求。PlinkoやMinesなどのゲームをプレイしてポイントを獲得（現在はメインネット準備のためゲーム閉鎖中だが、ポイントは移行後も有効）,Sonic Testnet,A,未完了,https://x.com/SonicLabs,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.923499+00:00,False,不明,不明
Perpl,2026/03/20 18:41,"・テストネット参加によるホワイトリスト登録者として、プライベートメインネットで取引・操作を実行
・プライベートメインネットのウェイトリストへの申請（Wave 1）",Perpl Private Mainnet,A,完了,https://x.com/perpltrade,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.928207+00:00,False,不明,不明
ZugChain Validator Program,未定,バリデーターノードを実行（4Core/8GB RAM）し、ジェネシスバリデーター100枠に応募,ZugChain,A,完了,https://x.com/ZugChain_org,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.931257+00:00,False,不明,不明
Arcadia Games,未定,オープンベータ登録後、資金を入金しPvPマッチに3回以上参加,不明,C,完了,https://x.com/ArcadiaGamesIO,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.934926+00:00,False,不明,不明
Ritual,未定,ドキュメントに基づきRitualノードのセットアップおよび運営を行う,Ritual,C,未完了,https://x.com/ritualnet,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:06.939301+00:00,False,不明,不明
Tide Protocol,終了日未定,Suiテストネットへ切り替え（Slush Wallet推奨）後、faucetでテストトークンを取得。2 SUI以上入金してSupporter Pass NFTを獲得し、NFTの売買・貸借・リワード請求（1時間毎）を通じてリーダーボードのポイントを貯める。,Sui Testnet,S,完了,https://x.com/tidedotam,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.942501+00:00,False,不明,不明
Stabilizer,2026/02/23 02:35,"・ゼロスリッページDEXのテストネット参加に向けたホワイトリスト登録。報酬として独占的NFTが約束されている。
・MMACH4でホワイトリスト確定",未定（テストネット）,A,未完了,https://x.com/StabilizerFi,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.945591+00:00,False,不明,不明
Alchemy Chain,2026/02/23 00:00,"・月23日開始のテストネットに参加。技術的なテストへの参加が必要な可能性あり。既存のACHトークンのユーティリティ向上に関連。
・開発者向けRPCエンドポイントを使用したテストネット接続、コントラクトのデプロイ、トランザクションテストの実施、フィードバックの提供。
・L1テストネットのexplorerおよびfaucetでのテスト実行、dAppの展開、Proof-of-Authority（PoA）コンセンサステストへの参加。
・L1テストネットのExplorerおよびFaucetの利用、Developer docsに基づいたdAppの展開、Proof-of-Authority(PoA)コンセンサステストへの参加",Alchemy Chain (Testnet),B,完了,https://x.com/AlchemyPay,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.949624+00:00,False,不明,不明
Prism Market,2026/03/06 23:59,2026年2月26日から3月6日の期間にHederaネットワークで開催されるINO（初期NFTオファリング）に参加する。,Hedera,B,完了,https://x.com/HeadStarterHQ,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.953915+00:00,False,不明,不明
3look_io,終了日未定,"・プラットフォームにコンテンツを投稿し、「3look」または「@3look_io」をメンションしてLøøkz Pointsを獲得。友人招待でも追加ポイント獲得可能。
・Xアカウントの連携、コンテンツ投稿によるLøøkzポイントの獲得（毎日20〜30分程度）",Social,C,未完了,https://x.com/3look_io,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.958028+00:00,False,不明,不明
Pharos Network,2026/06/30 23:59,テストネットでのDeFiアプリ利用および取引実行。Discordコミュニティへの参加とロール獲得、ポイントランキングの上位維持。,Pharos Network (L1),A,完了,https://x.com/pharos_network,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.961599+00:00,False,不明,不明
Mutuum Finance,2026/09/30 23:59,Sepoliaテストネットでの非保管型レンディングプロトコルの機能検証。バグ報告の提供。V1プロトコルのテスト参加。,Ethereum (Sepolia Testnet),A,完了,https://phemex.com/news/article/solana-holds-80-support-as-mutuum-finance-gains-19000-holders-62028,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.965487+00:00,False,不明,不明
Helios,2026/06/30 23:59,KingdomStarterプラットフォームでのIDO参加。初期価格$0.02でのトークン購入（総供給5億トークン）。,Helios (I-PoSR L1),B,完了,未定,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.969679+00:00,False,不明,不明
Football.Fun,2026/06/30 23:59,Kraken LaunchまたはLEGIONプラットフォームでのIEO/ICO参加。詳細スケジュールの確認と登録。,未定,B,完了,未定,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.975109+00:00,False,不明,不明
Circle Nanopayments,2026/12/31 23:59,プライベートベータへの開発者申請。AIエージェント向けマイクロペイメント等のユースケース提案、テストネットでのガスフリーUSDC送信テスト。,Circle Ecosystem,C,完了,https://x.com/BuildOnCircle,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.979614+00:00,False,不明,不明
Miden,2026/06/30 23:59,テストネットの利用（ウォレットインストール、トークン請求、ZoroSwapでの取引、Domeでのプライベート送金）およびMidenに関するオリジナルコンテンツ（解説スレッド、動画等）を作成しXで@0xMidenをタグ付けして投稿。,Miden (Polygon Labsスピンオフ / プライバシーL2),S,完了,https://x.com/0xMiden,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.983315+00:00,False,不明,不明
Nexus,2026/03/17 23:59,Node Rush Season 2への参加。app.nexus.xyzでのNode Runner登録、毎日ログインおよび週替わりクエストの完了。演算リソース提供によるCache Strikes獲得、ポイントによるNFT（Strike Glyphs）のミント。,Nexus (Verifiable Finance / L1),S,完了,https://app.nexus.xyz/,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.987680+00:00,False,不明,不明
Nesa (NES),2026/12/31 23:59,"・AIノードの設置（GitHubガイド参照）または、beta.nesa.ai/rewardsでのAI推論（AI Card）実行によるXPファーミングの継続。
・ウェイトリストに登録済み（アカウント: sanjiao723@gmail.com）",Nesa (AIインフラ),A,未完了,https://beta.nesa.ai/rewards,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.991119+00:00,False,不明,不明
Euphoria,2026/03/09 23:59,Tapathon テストネット（Week 2）への参加。テストネットサイトにてモバイルオプション取引ゲーム（タップによる仮想トレード）を実行。※Week 2は2/23から14日間限定。,MegaETH,A,未完了,https://testnet.euphoria.finance/,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.994576+00:00,False,不明,不明
Hypercroc,2026/04/30 23:59,ソフトスワンプ・ボルトへのUSDT/USDC預け入れ。預け入れ期間に応じたXPファーミング（早期参加者には最大2.2倍のマルチプライヤーあり）。,Hypercroc (DeFi),C,完了,https://x.com/Hypercroc_xyz,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:06.997531+00:00,False,不明,不明
Unicity / Dome / Republic Technologies,未定,新規資金調達プロジェクトとしてのウォッチリスト登録。公式Xアカウントのフォローおよび最新のテストネット告知待機。,AI/予測市場インフラ,C,完了,,,False,2099-12-31 00:00:00.000000000,2026-03-01T22:52:07.000772+00:00,False,不明,不明
Arc (Circle),なし,パブリックテストネットに完全無料で参加。Faucetからテストトークンを取得し、デプロイ、ブリッジ、トレード等のインタラクションを5回以上行うことが推奨。,Arc (Circle L1),A,未完了,なし,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.003628+00:00,False,不明,不明
GenLayer,なし,報酬ポイント制度「Rally」に参加。公式待機リスト登録やタスク完了でポイントを蓄積。テストネット「Bradbury」でのコントラクトデプロイやバリデータ参加も検討。,GenLayer,B,未完了,なし,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.007844+00:00,False,不明,不明
Axis Robotics,なし,公開された操作ガイドに従い、シビル対策を考慮したバイオニック的な挙動を伴うインタラクションを完了させる。,なし,B,完了,なし,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.012709+00:00,False,不明,不明
Piggybank.fi,なし（早期）,Solana基盤のプラットフォームでステーブルコインを運用（最大22% APY）し、将来的なエアドロップ対象となる「Oinks」ポイントを貯める。,Solana,B,完了,https://twitter.com/PiggybankFi,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.017458+00:00,False,不明,不明
ssv.network,なし（テストネット期間中）,SSVステーキングのテストネットに参加。テストネット用SSVをステーキングしてcSSVを1:1で受け取り、蓄積されるETH報酬を確認・請求する。,Ethereum (Testnet),A,完了,https://twitter.com/ssv_network,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.022672+00:00,False,不明,不明
Polymer Labs,なし,"・Jumper Exchangeを利用してゼロスリッページブリッジを実行。トランザクションのスクリーンショットをXに投稿してキャンペーンに参加する。
・エージェント向けApp Store「Obul」の発表。x402対応エージェントの発見、統合、支払いインフラの開発状況を確認。",Polymer / Multi-chain,B,未完了,なし,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.027802+00:00,False,不明,不明
ARO Network,未定（メインネット稼働まで）,"・公式Dashboardでのアカウント作成、Browser Nodeアプリのインストールおよび24時間稼働、Discordでのコミュニティロール取得、Jadeポイントの蓄積。
・公式Dashboardでのアカウント作成、Browser Nodeアプリのインストールと24時間稼働、Discord参加によるコミュニティロール取得（3タスク）、Jadeポイントの蓄積",ARO Network (DePIN),A,完了,https://x.com/AroNetwork,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.032467+00:00,False,不明,不明
Kash,未定（Alpha期間限定）,"・Alpha登録による早期アクセス、X（Twitter）での@kash_botへの引用投稿による予測市場参加、AI追跡エンゲージメントを通じた$KASH蓄積。
・Alpha登録による早期アクセス、公式X(@kash_bot)への引用投稿による予測市場参加、AI追跡ベースのエンゲージメントによる$KASH蓄積",Base Network,S,未完了,https://x.com/kash_bot,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.037235+00:00,False,不明,不明
OP NET,2026/03/17,"・公式テストネットポータルでのタスク実行、週次NFTクレーム、Vibecoding Challengeへの参加、Galxeでのタスク完了およびロール取得。
・テストネットポータルでのタスク実行、週次NFTのクレーム、Vibecoding Challengeへの参加、Galxeでの34タスク完了およびロール取得",Bitcoin L1,A,未完了,https://x.com/opnetbtc,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.041072+00:00,False,不明,不明
idOS,2026/03/05,"・Tallyプラットフォーム上でのトークンセール（IDO）への参加。Uniswap継続クリアリングオークション方式によるトークン購入。
・Tallyプラットフォーム上でのIDO参加、Uniswap継続クリアリングオークション方式によるトークン購入（価格：$0.035/IDOS）",Ethereum,B,完了,https://x.com/idOS_network,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.044743+00:00,False,不明,不明
Perceptron Network,未発表,"・Androidアプリのインストール、余剰帯域共有によるポイントファーミング、Intractでのhumanity proof（人間証明）の完了。
・Androidアプリのインストール、余剰帯域共有によるポイントファーミング、IntractでのHumanity Proof（人間証明）の完了",Perceptron Network (DePIN),B,未完了,https://x.com/PerceptronNTWK,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.048566+00:00,False,不明,不明
t54ai,2026/03/31 23:59,"・公式X(@t54ai)のフォロー、Discordコミュニティへの参加、近日公開予定のウェイティングリスト登録（資金調達発表直後のため早期メンバー資格獲得が最優先）
・ウェイトリスト登録済み（登録アドレス: xakahiro@live.jp）",不明（AIエージェント信頼インフラ）,S,未完了,https://x.com/Crypto_Dealflow/status/2027406997444825594,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.052367+00:00,False,不明,不明
Decibel,2026/03/31 23:59,"・メインネット(app.decibel.trade)へのアクセスと招待コード登録、毎日トレードによるストリーク維持、Season 0 Pointsの蓄積（1kボリュームで招待コード解除）
・Aptosメインネットにてギルド（例：「Echo Dynasty」）に所属し、10ドル以上の預け入れと取引を行ってAMPポイントを獲得する（将来のエアドロップ権利）。
・Decibelアプリでのアカウント作成（招待コード使用）、Guild Warsへの参加（10 USD預け入れ）、取引によるAMPポイント蓄積（最低1,000 USDの取引量）、DLPボルトへの流動性提供",Aptos,S,未完了,https://app.decibel.trade,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.055557+00:00,False,不明,不明
Yellow,2026/03/08 00:00,"・ウェイティングリスト登録(yellow.pro/waitlist)、公式X(@Yellow)のフォロー、Discordコミュニティ参加（3月8日のトークン&DEXローンチ前の登録が必須）
・【登録済み】記号: MMACH４ / メール: xakahiro@gmail.com / ウェイティングリスト登録(yellow.pro/waitlist)完了。公式X(@Yellow)のフォロー、Discordコミュニティ参加（3月8日のトークン&DEXローンチ前の登録が必須）",クロスチェーン（Ripple関連）,S,未完了,https://yellow.pro/waitlist,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.059555+00:00,False,不明,不明
D3,2026/12/31 23:59,D3ネットワーク(app.d3.network)でのウォレット接続、無料ドメインの取得、ドメインの取引・管理活動による貢献スコアの蓄積,D3 Network,A,未完了,https://app.d3.network,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.062946+00:00,False,不明,不明
KAIO,2026/03/14 23:59,"Galxeでの3つのクエスト（Tokenization 1.0, Infrastructure Layer, Meet the CEO）完了によるLoyalty Points(80点)獲得、ウェイティングリスト登録",不明（Galxe経由）,A,未完了,https://app.galxe.com/quest/KAIO/GCqustYxEZ,,False,2262-04-11 23:47:16.854775807,2026-03-01T22:52:07.066768+00:00,False,不明,不明
